"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Gila cypha","Humpback chub","Wherever found","6","Threatened","Fishes"
"Chasmistes cujus","Cui-ui","Wherever found","8","Endangered","Fishes"
"Moapa coriacea","Moapa dace","Wherever found","8","Endangered","Fishes"
"Etheostoma sellare","Maryland darter","Wherever found","5","Endangered","Fishes"
"Gambusia gaigei","Big Bend gambusia","Wherever found","2","Endangered","Fishes"
"Gambusia heterochir","Clear Creek gambusia","Wherever found","2","Endangered","Fishes"
"Ptychocheilus lucius","Colorado pikeminnow","Wherever found, except where listed as an experimental population","6","Endangered","Fishes"
"Cyprinodon elegans","Comanche Springs pupfish","Wherever found","2","Endangered","Fishes"
"Cyprinodon diabolis","Devils Hole pupfish","Wherever found","8","Endangered","Fishes"
"Cyprinodon radiosus","Owens pupfish","Wherever found","8","Endangered","Fishes"
"Poeciliopsis occidentalis","Gila topminnow (incl. Yaqui)","Wherever found","2","Endangered","Fishes"
"Oncorhynchus gilae","Gila trout","Wherever found","2","Threatened","Fishes"
"Oncorhynchus clarkii stomias","Greenback Cutthroat trout","Wherever found","6","Threatened","Fishes"
"Oncorhynchus clarkii seleniris","Paiute cutthroat trout","Wherever found","8","Threatened","Fishes"
"Gila bicolor ssp. mohavensis","Mohave tui chub","Wherever found","8","Endangered","Fishes"
"Gila robusta jordani","Pahranagat roundtail chub","Wherever found","8","Endangered","Fishes"
"Rhinichthys osculus thermalis","Kendall Warm Springs dace","Wherever found","6","Endangered","Fishes"
"Etheostoma fonticola","Fountain darter","Wherever found","2","Endangered","Fishes"
"Etheostoma nuchale","Watercress darter","Wherever found","4","Endangered","Fishes"
"Gambusia nobilis","Pecos gambusia","Wherever found","2","Endangered","Fishes"
"Cyprinodon nevadensis pectoralis","Warm Springs pupfish","Wherever found","8","Endangered","Fishes"
"Gasterosteus aculeatus williamsoni","unarmored threespine stickleback","Wherever found","8","Endangered","Fishes"
"Oncorhynchus clarkii henshawi","Lahontan cutthroat trout","Wherever found","8","Threatened","Fishes"
"Plagopterus argentissimus","Woundfin","Wherever found, except where listed as an experimental population","6","Endangered","Fishes"
"Speoplatyrhinus poulsoni","Alabama cavefish","Wherever found","4","Endangered","Fishes"
"Erimonax monachus","Spotfin Chub","Wherever found, except where listed as an experimental population","4","Threatened","Fishes"
"Percina pantherina","Leopard darter","Wherever found","2","Threatened","Fishes"
"Etheostoma boschungi","Slackwater darter","Wherever found","4","Threatened","Fishes"
"Cottus paulus (=pygmaeus)","Pygmy Sculpin","Wherever found","4","Threatened","Fishes"
"Notropis mekistocholas","Cape Fear shiner","Wherever found","4","Endangered","Fishes"
"Menidia extensa","Waccamaw silverside","Wherever found","4","Threatened","Fishes"
"Etheostoma rubrum","Bayou darter","Wherever found","4","Threatened","Fishes"
"Erimystax cahni","Slender chub","Wherever found","4","Threatened","Fishes"
"Noturus flavipinnis","Yellowfin madtom","Wherever found, except where listed as an experimental population","4","Threatened","Fishes"
"Oncorhynchus aguabonita whitei","Little Kern golden trout","Wherever found","8","Threatened","Fishes"
"Gila elegans","Bonytail","Wherever found","6","Endangered","Fishes"
"Cyprinodon bovinus","Leon Springs pupfish","Wherever found","2","Endangered","Fishes"
"Scaphirhynchus suttkusi","Alabama sturgeon","Wherever found","4","Endangered","Fishes"
"Gila nigrescens","Chihuahua chub","Wherever found","2","Threatened","Fishes"
"Gila ditaenia","Sonora chub","Wherever found","2","Threatened","Fishes"
"Gila seminuda (=robusta)","Virgin River Chub","Wherever found","6","Endangered","Fishes"
"Etheostoma nianguae","Niangua darter","Wherever found","3","Threatened","Fishes"
"Noturus baileyi","Smoky madtom","Wherever found","4","Endangered","Fishes"
"Ictalurus pricei","Yaqui catfish","Wherever found","2","Threatened","Fishes"
"Amblyopsis rosae","Ozark cavefish","Wherever found","4","Threatened","Fishes"
"Gila bicolor ssp.","Hutton tui chub","Wherever found","1","Threatened","Fishes"
"Gila bicolor ssp. snyderi","Owens Tui Chub","Wherever found","8","Endangered","Fishes"
"Gila purpurea","Yaqui chub","Wherever found","2","Endangered","Fishes"
"Rhinichthys osculus nevadensis","Ash Meadows speckled dace","Wherever found","8","Endangered","Fishes"
"Rhinichthys osculus oligoporus","Clover Valley speckled dace","Wherever found","8","Endangered","Fishes"
"Eremichthys acros","Desert dace","Wherever found","8","Threatened","Fishes"
"Rhinichthys osculus lethoporus","Independence Valley speckled dace","Wherever found","8","Endangered","Fishes"
"Etheostoma scotti","Cherokee darter","Wherever found","4","Threatened","Fishes"
"Noturus placidus","Neosho madtom","Wherever found","6","Threatened","Fishes"
"Noturus stanauli","Pygmy madtom","Wherever found","4","Endangered","Fishes"
