"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Gambelia silus","Blunt-nosed leopard lizard","Wherever found","8","Endangered","Reptiles"
"Thamnophis sirtalis tetrataenia","San Francisco garter snake","Wherever found","8","Endangered","Reptiles"
"Eretmochelys imbricata","Hawksbill sea turtle","Wherever found","4","Endangered","Reptiles"
"Dermochelys coriacea","Leatherback sea turtle","Wherever found","4","Endangered","Reptiles"
"Lepidochelys kempii","Kemp's ridley sea turtle","Wherever found","2","Endangered","Reptiles"
"Chilabothrus inornatus","Puerto Rican boa","Wherever found","4","Endangered","Reptiles"
"Lepidochelys olivacea","Olive ridley sea turtle","Wherever found, except when listed as endangered under 50 CFR 224.101","1","Threatened","Reptiles"
"Anolis roosevelti","Culebra Island giant anole","Wherever found","4","Endangered","Reptiles"
"Ameiva polops","St. Croix ground lizard","Wherever found","4","Endangered","Reptiles"
"Epicrates monensis monensis","Mona boa","Wherever found","4","Threatened","Reptiles"
"Cyclura stejnegeri","Mona ground Iguana","Wherever found","4","Threatened","Reptiles"
"Crotalus willardi obscurus","New Mexican ridge-nosed rattlesnake","Wherever found","2","Threatened","Reptiles"
"Nerodia clarkii taeniata","Atlantic salt marsh snake","Wherever found","4","Threatened","Reptiles"
"Pseudemys alabamensis","Alabama red-bellied turtle","Wherever found","4","Endangered","Reptiles"
"Sternotherus depressus","Flattened musk turtle","Black Warrior R. system upstream from Bankhead Dam","4","Threatened","Reptiles"
"Pseudemys rubriventris bangsi","Plymouth Redbelly Turtle = Plymouth Redbelly Cooter","Wherever found","5","Endangered","Reptiles"
"Graptemys oculifera","Ringed map turtle","Wherever found","4","Threatened","Reptiles"
"Graptemys flavimaculata","Yellow-blotched map turtle","Wherever found","4","Threatened","Reptiles"
"Drymarchon couperi","Eastern indigo snake","Wherever found","4","Threatened","Reptiles"
"Chilabothrus granti","Virgin Islands tree boa","Wherever found","4","Endangered","Reptiles"
"Uma inornata","Coachella Valley fringe-toed lizard","Wherever found","8","Threatened","Reptiles"
"Crocodylus acutus","American crocodile","U.S.A. (FL)","4","Threatened","Reptiles"
"Eumeces egregius lividus","blue-tailed mole skink","Wherever found","4","Threatened","Reptiles"
"Neoseps reynoldsi","Sand skink","Wherever found","4","Threatened","Reptiles"
"Nerodia erythrogaster neglecta","Copperbelly water snake","Indiana north of 40 degrees north latitude, Michigan, Ohio","3","Threatened","Reptiles"
"Gopherus polyphemus","Gopher tortoise","Western DPS","4","Threatened","Reptiles"
"Glyptemys muhlenbergii","bog turtle","Wherever found, except GA, NC, SC, TN, VA","5","Threatened","Reptiles"
"Masticophis lateralis euryxanthus","Alameda whipsnake (=striped racer)","Wherever found","8","Threatened","Reptiles"
"Gopherus agassizii","Desert tortoise","Wherever found, except AZ south and east of Colorado R., and Mexico","8","Threatened","Reptiles"
"Thamnophis gigas","Giant garter snake","Wherever found","8","Threatened","Reptiles"
"Thamnophis eques megalops","Northern Mexican gartersnake","Wherever found","2","Threatened","Reptiles"
"Gopherus agassizii","Desert tortoise","AZ south and east of Colorado R., and Mexico, when found outside of Mexico or said range in AZ","8","Similarity of Appearance (Threatened)","Reptiles"
"Graptemys barbouri","Barbour's map turtle","Wherever found","4","Similarity of Appearance (Threatened)","Reptiles"
"Sceloporus arenicolus","Dunes sagebrush lizard","Wherever found","2","Endangered","Reptiles"
"Thamnophis rufipunctatus","Narrow-headed gartersnake","Wherever found","2","Threatened","Reptiles"
"Pituophis ruthveni","Louisiana pinesnake","Wherever found","4","Threatened","Reptiles"
"Glyptemys muhlenbergii","bog turtle","U.S.A. (GA, NC, SC, TN, VA)","4","Similarity of Appearance (Threatened)","Reptiles"
"Lepidochelys olivacea","Olive ridley sea turtle","Breeding colony populations on Pacific coast of Mexico","9","Endangered","Reptiles"
"Pituophis melanoleucus lodingi","Black pinesnake","Wherever found","4","Threatened","Reptiles"
"Kinosternon sonoriense longifemorale","Sonoyta mud turtle","Wherever found","2","Endangered","Reptiles"
"Sistrurus catenatus","Eastern Massasauga (=rattlesnake)","Wherever found","3","Threatened","Reptiles"
"Gopherus flavomarginatus","Bolson tortoise","Wherever found","2","Endangered","Reptiles"
"Alligator mississippiensis","American alligator","Wherever found","4","Similarity of Appearance (Threatened)","Reptiles"
"Graptemys gibbonsi","Pascagoula map turtle","Wherever found","4","Similarity of Appearance (Threatened)","Reptiles"
"Caretta caretta","Loggerhead sea turtle","Northwest Atlantic Ocean DPS","4","Threatened","Reptiles"
"Caretta caretta","Loggerhead sea turtle","North Pacific Ocean DPS","1","Endangered","Reptiles"
"Chelonia mydas","Green sea turtle","Central North Pacific DPS","1","Threatened","Reptiles"
"Emoia slevini","Slevin's skink","Wherever found","1","Endangered","Reptiles"
"Graptemys pulchra","Alabama Map turtle","Wherever found","4","Similarity of Appearance (Threatened)","Reptiles"
"Graptemys ernsti","Escambia Map turtle","Wherever found","4","Similarity of Appearance (Threatened)","Reptiles"
"Chelonia mydas","Green sea turtle","Central South Pacific DPS","1","Endangered","Reptiles"
"Chelonia mydas","Green sea turtle","Central West Pacific DPS","1","Endangered","Reptiles"
"Chelonia mydas","Green sea turtle","East Pacific DPS","8","Threatened","Reptiles"
"Chelonia mydas","Green sea turtle","North Atlantic DPS","4","Threatened","Reptiles"
"Chelonia mydas","Green sea turtle","South Atlantic DPS","4","Threatened","Reptiles"
"Macrochelys suwanniensis","Suwannee alligator snapping turtle","","4","Threatened","Reptiles"
"Graptemys pearlensis","Pearl River Map Turtle","","4","Threatened","Reptiles"
