"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Cyprogenia sp. cf. aberti","Ouachita fanshell","","4","Threatened","Clams"
"Vagrans egistina","Mariana wandering butterfly","Wherever found","1","Endangered","Insects"
"Tryonia cheatumi","Phantom Tryonia","Wherever found","2","Endangered","Snails"
"Quadrula cylindrica cylindrica","Rabbitsfoot","Wherever found","4","Threatened","Clams"
"Fusconaia cuneolus","Finerayed pigtoe","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Cyclargus ammon","Nickerbean Blue Butterfly","Wherever found","4","Similarity of Appearance (Threatened)","Insects"
"Elliptio chipolaensis","Chipola slabshell","Wherever found","4","Threatened","Clams"
"Villosa trabalis","Cumberland bean (pearlymussel)","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Speyeria zerene hippolyta","Oregon silverspot butterfly","Saddle Mountain/Nestucca Bay NEP - U.S.A. (ORspecified portions of Clatsop and Tillamook Counties","1","Experimental Population, Non-Essential","Insects"
"Dromus dromas","Dromedary pearlymussel","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Tayshaneta myopica","Tooth Cave spider","Wherever found","2","Endangered","Arachnids"
"Athearnia anthonyi","Anthony's riversnail","AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL","4","Experimental Population, Non-Essential","Snails"
"Gammarus pecos","Pecos amphipod","Wherever found","2","Endangered","Crustaceans"
"Drosophila digressa","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Apodemia mormo langei","Lange's metalmark butterfly","Wherever found","8","Endangered","Insects"
"Texella reyesi","Bone Cave harvestman","Wherever found","2","Endangered","Arachnids"
"Cambarus aculabrum","Benton County cave crayfish","Wherever found","4","Endangered","Crustaceans"
"Fusconaia cor","Shiny pigtoe","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Hylaeus mana","Hawaiian yellow-faced bee","Wherever found","1","Endangered","Insects"
"Athearnia anthonyi","Anthony's riversnail","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Snails"
"Lampsilis abrupta","Pink mucket (pearlymussel)","Wherever found","3","Endangered","Clams"
"Obovaria retusa","Ring Pink","Wherever found","4","Endangered","Clams"
"Villosa trabalis","Cumberland bean (pearlymussel)","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Heterelmis comalensis","Comal Springs riffle beetle","Wherever found","2","Endangered","Insects"
"Pleurobema pyriforme","Oval pigtoe","Wherever found","4","Endangered","Clams"
"Elliptio lanceolata","Yellow lance","Wherever found","4","Threatened","Clams"
"Elliptio spinosa","Altamaha Spinymussel","Wherever found","4","Endangered","Clams"
"Newcombia cumingi","Newcomb's Tree snail","Wherever found","1","Endangered","Snails"
"Nicrophorus americanus","American burying beetle","Wherever found, except where listed as an experimental population","2","Threatened","Insects"
"Alasmidonta atropurpurea","Cumberland elktoe","Wherever found","4","Endangered","Clams"
"Euphydryas editha bayensis","Bay checkerspot butterfly","Wherever found","8","Threatened","Insects"
"Lemiox rimosus","Birdwing pearlymussel","AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert, and Lauderdale Counties, AL","4","Experimental Population, Non-Essential","Clams"
"Plethobasus cicatricosus","White wartyback (pearlymussel)","Wherever found","4","Endangered","Clams"
"Popenaias popeii","Texas Hornshell","Wherever found","2","Endangered","Clams"
"Tartarocreagris texana","Tooth Cave pseudoscorpion","Wherever found","2","Endangered","Arachnids"
"Leptoxis ampla","Round rocksnail","Wherever found","4","Threatened","Snails"
"Desmocerus californicus dimorphus","Valley elderberry longhorn beetle","Wherever found","8","Threatened","Insects"
"Mesodon clarki nantahala","noonday snail","Wherever found","4","Threatened","Snails"
"Hamiota altilis","Finelined pocketbook","Wherever found","4","Threatened","Clams"
"Drosophila montgomeryi","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Plethobasus cicatricosus","White wartyback (pearlymussel)","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Speyeria nokomis nokomis","Silverspot","Wherever found","6","Threatened","Insects"
"Texella reddelli","Bee Creek Cave harvestman","Wherever found","2","Endangered","Arachnids"
"Helminthoglypta walkeriana","Morro shoulderband (=Banded dune) snail","Wherever found","8","Threatened","Snails"
"Megalagrion leptodemas","Crimson Hawaiian damselfly","Wherever found","1","Endangered","Insects"
"Hylaeus longiceps","Hawaiian yellow-faced bee","Wherever found","1","Endangered","Insects"
"Medionidus walkeri","Suwannee moccasinshell","Wherever found","4","Threatened","Clams"
"Euphilotes battoides allyni","El Segundo blue butterfly","Wherever found","8","Endangered","Insects"
"Pyrgulopsis bernardina","San Bernardino springsnail","Wherever found","2","Threatened","Snails"
"Lycaena hermes","Hermes copper butterfly","Wherever found","8","Threatened","Insects"
"Gammarus hyalleloides","Diminutive Amphipod","Wherever found","2","Endangered","Crustaceans"
"Medionidus parvulus","Coosa moccasinshell","Wherever found","4","Endangered","Clams"
"Elimia crenatella","Lacy elimia (snail)","Wherever found","4","Threatened","Snails"
"Manduca blackburni","Blackburn's sphinx moth","Wherever found","1","Endangered","Insects"
"Epioblasma obliquata","Purple Cat's paw (=Purple Cat's paw pearlymussel)","AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL","3","Experimental Population, Non-Essential","Clams"
"Epioblasma brevidens","Cumberlandian combshell","AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL","4","Experimental Population, Non-Essential","Clams"
"Potamilus inflatus","Inflated heelsplitter","Wherever found","4","Threatened","Clams"
"Stygobromus (=Stygonectes) pecki","Peck's cave amphipod","Wherever found","2","Endangered","Crustaceans"
"Stygobromus hayi","Hay's Spring amphipod","Wherever found","5","Endangered","Crustaceans"
"Arcidens wheeleri","Ouachita rock pocketbook","Wherever found","2","Endangered","Clams"
"Icaricia icarioides fenderi","Fender's blue butterfly","Wherever found","1","Threatened","Insects"
"Hemistena lata","Cracking pearlymussel","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Plethobasus cyphyus","Sheepnose Mussel","Wherever found","3","Endangered","Clams"
"Pleurobema clava","Clubshell","Wherever found; Except where listed as Experimental Populations","5","Endangered","Clams"
"Drosophila substenoptera","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Epioblasma triquetra","Snuffbox mussel","Wherever found","3","Endangered","Clams"
"Texamaurops reddelli","Kretschmarr Cave mold beetle","Wherever found","2","Endangered","Insects"
"Drosophila mulli","Hawaiian picture-wing fly","Wherever found","1","Threatened","Insects"
"Reginaia rotulata","Round Ebonyshell","Wherever found","4","Endangered","Clams"
