"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Hemignathus wilsoni","akiapolaau","Wherever found","1","Endangered","Birds"
"Gymnogyps californianus","California condor","Wherever found, except where listed as an experimental population","8","Endangered","Birds"
"Grus americana","Whooping crane","Wherever found, except where listed as an experimental population","2","Endangered","Birds"
"Corvus hawaiiensis","Hawaiian crow","Wherever found","1","Endangered","Birds"
"Anas wyvilliana","Hawaiian duck","Wherever found","1","Endangered","Birds"
"Anas laysanensis","Laysan duck","Wherever found","1","Endangered","Birds"
"Telespiza cantans","Laysan finch","Wherever found","1","Endangered","Birds"
"Telespiza ultima","Nihoa finch","Wherever found","1","Endangered","Birds"
"Branta (=Nesochen) sandvicensis","Hawaiian goose","Wherever found","1","Threatened","Birds"
"Palmeria dolei","`Akohekohe (crested honeycreeper)","Wherever found","1","Endangered","Birds"
"Acrocephalus familiaris kingi","Nihoa millerbird (old world warbler)","Wherever found","1","Endangered","Birds"
"Gallinula galeata sandvicensis","Hawaiian common gallinule","Wherever found","1","Endangered","Birds"
"Psittirostra psittacea","`O`u (honeycreeper)","Wherever found","1","Endangered","Birds"
"Loxioides bailleui","Palila (honeycreeper)","Wherever found","1","Endangered","Birds"
"Amazona vittata","Puerto Rican parrot","Wherever found","4","Endangered","Birds"
"Pseudonestor xanthophrys","Maui parrotbill (Kiwikiu)","Wherever found","1","Endangered","Birds"
"Pterodroma sandwichensis","Hawaiian petrel","Wherever found","1","Endangered","Birds"
"Tympanuchus cupido attwateri","Attwater's greater prairie-chicken","Wherever found","2","Endangered","Birds"
"Rallus obsoletus yumanensis","Yuma Ridgway''s rail","Wherever found","2","Endangered","Birds"
"Ammospiza maritima mirabilis","Cape Sable seaside sparrow","Wherever found","4","Endangered","Birds"
"Myadestes palmeri","Puaiohi","Wherever found","1","Endangered","Birds"
"Megapodius laperouse","Micronesian megapode","Wherever found","1","Endangered","Birds"
"Phoebastria (=Diomedea) albatrus","Short-tailed albatross","Wherever found","7","Endangered","Birds"
"Colinus virginianus ridgwayi","Masked bobwhite (quail)","Wherever found","2","Endangered","Birds"
"Pterodroma cahow","Bermuda petrel","Wherever found","4","Endangered","Birds"
"Numenius borealis","Eskimo curlew","Wherever found","7","Endangered","Birds"
"Campephilus principalis","Ivory-billed woodpecker","Wherever found","4","Endangered","Birds"
"Sternula antillarum browni","California least tern","Wherever found","8","Endangered","Birds"
"Loxops coccineus","Hawaii akepa","Wherever found","1","Endangered","Birds"
"Paroreomyza maculata","O`ahu `alauahio","Wherever found","1","Endangered","Birds"
"Patagioenas inornata wetmorei","Puerto Rican plain Pigeon","Wherever found","4","Endangered","Birds"
"Rallus obsoletus obsoletus","California Ridgway's rail","Wherever found","8","Endangered","Birds"
"Rallus obsoletus levipes","Light-footed Ridgway's rail","Wherever found","8","Endangered","Birds"
"Himantopus mexicanus knudseni","Hawaiian stilt","Wherever found","1","Endangered","Birds"
"Myadestes lanaiensis rutha","Molokai `oloma`o","Wherever found","1","Endangered","Birds"
"Dryobates borealis","Red-cockaded woodpecker","Wherever found","4","Threatened","Birds"
"Fulica alai","Hawaiian coot (alae ke`oke`o)","Wherever found","1","Endangered","Birds"
"Antigone canadensis pulla","Mississippi sandhill crane","Wherever found","4","Endangered","Birds"
"Antrostomus noctitherus","Puerto Rican nightjar","Wherever found","4","Endangered","Birds"
"Loxops mana","Hawaii creeper","Wherever found","1","Endangered","Birds"
"Puffinus newelli","Newell''s shearwater","Wherever found","1","Threatened","Birds"
"Lanius ludovicianus mearnsi","San Clemente loggerhead shrike","Wherever found","8","Endangered","Birds"
"Agelaius xanthomus","Yellow-shouldered blackbird","Wherever found","4","Endangered","Birds"
"Corvus kubaryi","Mariana (=aga) Crow","Wherever found","1","Endangered","Birds"
"Todiramphus cinnamominus","Guam kingfisher","Wherever found","1","Endangered","Birds"
"Gallinula chloropus guami","Mariana common moorhen (pulattat)","Wherever found","1","Endangered","Birds"
"Gallirallus owstoni","Guam rail","Wherever found, except where listed as an experimental population","1","Endangered","Birds"
"Vireo bellii pusillus","Least Bell's vireo","Wherever found","8","Endangered","Birds"
"Caracara plancus audubonii","Crested caracara (Audubon's) [FL DPS]","FL DPS","4","Threatened","Birds"
"Falco femoralis septentrionalis","Northern Aplomado Falcon","Wherever found, except where listed as an experimental population","2","Endangered","Birds"
"Buteo platypterus brunnescens","Puerto Rican broad-winged hawk","Wherever found","4","Endangered","Birds"
"Accipiter striatus venator","Puerto Rican sharp-shinned hawk","Wherever found","4","Endangered","Birds"
"Strix occidentalis lucida","Mexican spotted owl","Wherever found","2","Threatened","Birds"
"Charadrius melodus","Piping Plover","[Great Lakes watershed DPS] - Great Lakes, watershed in States of IL, IN, MI, MN, NY, OH, PA, and WI and Canada (Ont.)","3","Endangered","Birds"
"Charadrius melodus","Piping Plover","[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.","5","Threatened","Birds"
"Charadrius nivosus nivosus","western snowy plover","Pacific Coast population DPS-U.S.A. (CA, OR, WA), Mexico (within 50 miles of Pacific coast)","8","Threatened","Birds"
"Ammodramus savannarum floridanus","Florida grasshopper sparrow","Wherever found","4","Endangered","Birds"
"Sterna dougallii dougallii","Roseate tern","Northeast U.S. nesting population","5","Endangered","Birds"
"Sterna dougallii dougallii","Roseate tern","Western Hemisphere except NE U.S.","4","Threatened","Birds"
"Melozone crissalis eremophilus","Inyo California towhee","Wherever found","8","Threatened","Birds"
"Setophaga chrysoparia","golden-cheeked warbler","Wherever found","2","Endangered","Birds"
"Aphelocoma coerulescens","Florida scrub-jay","Wherever found","4","Threatened","Birds"
"Corvus leucognaphalus","White-necked crow","Wherever found","4","Endangered","Birds"
"Strix occidentalis caurina","Northern spotted owl","Wherever found","1","Threatened","Birds"
"Brachyramphus marmoratus","Marbled Murrelet","U.S.A. (CA, OR, WA)","1","Threatened","Birds"
"Polioptila californica californica","Coastal California gnatcatcher","Wherever found","8","Threatened","Birds"
"Somateria fischeri","Spectacled eider","Wherever found","7","Threatened","Birds"
"Polysticta stelleri","Steller's Eider","AK breeding pop.","7","Threatened","Birds"
"Aerodramus bartschi","Mariana swiftlet","Wherever found","1","Endangered","Birds"
"Empidonax traillii extimus","Southwestern willow flycatcher","Wherever found","2","Endangered","Birds"
"Chasiempis ibidis","Oahu elepaio","Wherever found","1","Endangered","Birds"
"Rostrhamus sociabilis plumbeus","Everglade snail kite","Wherever found","4","Endangered","Birds"
"Acrocephalus luscinia","Nightingale reed warbler (old world warbler)","Wherever found","1","Endangered","Birds"
"Zosterops rotensis","Rota bridled white-eye","Wherever found","1","Endangered","Birds"
"Gymnogyps californianus","California condor","U.S.A. (specific portions of Arizona, Nevada, and Utah)","8","Experimental Population, Non-Essential","Birds"
"Hydrobates castro","Band-rumped Storm-petrel","USA (HI)","1","Endangered","Birds"
"Pterodroma hasitata","Black-capped Petrel","Wherever found","4","Endangered","Birds"
"Centrocercus minimus","Gunnison Sage-grouse","Wherever found","6","Threatened","Birds"
"Oreomystis bairdi","Akikiki","Wherever found","1","Endangered","Birds"
"Setophaga angelae","Elfin-woods warbler","Wherever found","4","Threatened","Birds"
"Eremophila alpestris strigata","Streaked Horned lark","Wherever found","1","Threatened","Birds"
"Grus americana","Whooping crane","Rocky Mountain NEP - U.S.A. (CO, ID, NM, UT, and the western  half of Wyoming)","2","Experimental Population, Non-Essential","Birds"
"Gallirallus owstoni","Guam rail","Rota","1","Experimental Population, Non-Essential","Birds"
"Gallicolumba stairi","Friendly Ground-Dove","American Samoa DPS","1","Endangered","Birds"
"Rhynchopsitta pachyrhyncha","Thick-billed parrot","Wherever found","2","Endangered","Birds"
"Loxops caeruleirostris","Akekee","Wherever found","1","Endangered","Birds"
"Coccyzus americanus","Yellow-billed Cuckoo","Western U.S. DPS","2","Threatened","Birds"
"Grus americana","Whooping crane","Eastern Migratory NEP - U.S.A. (AL, AR, FL, GA, IL, IN, IA, KY, LA, MI, MN, MS, MO, NC, OH, SC, TN, VA, WI, WV)","2","Experimental Population, Non-Essential","Birds"
