"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Vagrans egistina","Mariana wandering butterfly","Wherever found","1","Endangered","Insects"
"Tryonia cheatumi","Phantom Tryonia","Wherever found","2","Endangered","Snails"
"Lepidomeda mollispinis pratensis","Big Spring spinedace","Wherever found","8","Threatened","Fishes"
"Gila bicolor ssp. mohavensis","Mohave tui chub","Wherever found","8","Endangered","Fishes"
"Tamias minimus atristriatus","Penasco least chipmunk","Wherever found","2","Endangered","Mammals"
"Quadrula cylindrica cylindrica","Rabbitsfoot","Wherever found","4","Threatened","Clams"
"Eucyclogobius newberryi","tidewater goby","Wherever found","8","Endangered","Fishes"
"Fusconaia cuneolus","Finerayed pigtoe","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Cyclargus ammon","Nickerbean Blue Butterfly","Wherever found","4","Similarity of Appearance (Threatened)","Insects"
"Sistrurus catenatus","Eastern Massasauga (=rattlesnake)","Wherever found","3","Threatened","Reptiles"
"Elliptio chipolaensis","Chipola slabshell","Wherever found","4","Threatened","Clams"
"Chasiempis ibidis","Oahu elepaio","Wherever found","1","Endangered","Birds"
"Speyeria zerene hippolyta","Oregon silverspot butterfly","Saddle Mountain/Nestucca Bay NEP - U.S.A. (ORspecified portions of Clatsop and Tillamook Counties","1","Experimental Population, Non-Essential","Insects"
"Erimonax monachus","Spotfin Chub","U.S.A. (TN-specified portions of the Tellico River; see 17.84(m)(1)(i))","4","Experimental Population, Non-Essential","Fishes"
"Dromus dromas","Dromedary pearlymussel","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Tayshaneta myopica","Tooth Cave spider","Wherever found","2","Endangered","Arachnids"
"Strix occidentalis lucida","Mexican spotted owl","Wherever found","2","Threatened","Birds"
"Athearnia anthonyi","Anthony's riversnail","AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL","4","Experimental Population, Non-Essential","Snails"
"Gammarus pecos","Pecos amphipod","Wherever found","2","Endangered","Crustaceans"
"Texella reyesi","Bone Cave harvestman","Wherever found","2","Endangered","Arachnids"
"Rana sierrae","Sierra Nevada Yellow-legged Frog","Wherever found","8","Endangered","Amphibians"
"Rhinichthys osculus thermalis","Kendall Warm Springs dace","Wherever found","6","Endangered","Fishes"
"Nerodia clarkii taeniata","Atlantic salt marsh snake","Wherever found","4","Threatened","Reptiles"
"Cambarus aculabrum","Benton County cave crayfish","Wherever found","4","Endangered","Crustaceans"
"Pseudemys rubriventris bangsi","Plymouth Redbelly Turtle = Plymouth Redbelly Cooter","Wherever found","5","Endangered","Reptiles"
"Fusconaia cor","Shiny pigtoe","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))","4","Experimental Population, Non-Essential","Clams"
"Villosa trabalis","Cumberland bean (pearlymussel)","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Heterelmis comalensis","Comal Springs riffle beetle","Wherever found","2","Endangered","Insects"
"Pleurobema pyriforme","Oval pigtoe","Wherever found","4","Endangered","Clams"
"Elliptio lanceolata","Yellow lance","Wherever found","4","Threatened","Clams"
"Elliptio spinosa","Altamaha Spinymussel","Wherever found","4","Endangered","Clams"
"Newcombia cumingi","Newcomb's Tree snail","Wherever found","1","Endangered","Snails"
"Chasmistes liorus","June sucker","Wherever found","6","Threatened","Fishes"
"Nicrophorus americanus","American burying beetle","Wherever found, except where listed as an experimental population","2","Threatened","Insects"
"Alasmidonta atropurpurea","Cumberland elktoe","Wherever found","4","Endangered","Clams"
"Caretta caretta","Loggerhead sea turtle","Northwest Atlantic Ocean DPS","4","Threatened","Reptiles"
